spectral_power..1. , feat ~ 1 + time + GA + time:GA + (1 | c_code)
spectral_power..2. , feat ~ 1 + time + GA + time:GA + (1 | c_code)
spectral_power..3. , feat ~ 1 + time + (1 | c_code)
spectral_power..4. , feat ~ 1 + time + (1 + time | c_code)
spectral_relative_power..1. , feat ~ 1 + (1 + time | c_code)
spectral_relative_power..2. , feat ~ 1 + time + (1 + time | c_code)
spectral_relative_power..3. , feat ~ 1 + time + GA + time:GA + (1 + time | c_code)
spectral_relative_power..4. , feat ~ 1 + GA + (1 + time | c_code)
spectral_flatness..1. , feat ~ 1 + (1 + time | c_code)
spectral_flatness..2. , feat ~ 1 + time + GA + (1 | c_code)
spectral_flatness..3. , feat ~ 1 + time + GA + (1 + time | c_code)
spectral_flatness..4. , feat ~ 1 + (1 + time | c_code)
spectral_edge_frequency , feat ~ 1 + time + GA + time:GA + (1 + time | c_code)
FD , feat ~ 1 + GA + (1 + time | c_code)
amplitude_skew..1. , feat ~ 1 + time + GA + time:GA + (1 + time | c_code)
amplitude_skew..2. , feat ~ 1 + time + GA + (1 + time | c_code)
amplitude_skew..3. , feat ~ 1 + GA + (1 + time | c_code)
amplitude_skew..4. , feat ~ 1 + GA + (1 + time | c_code)
amplitude_kurtosis..1. , feat ~ 1 + GA + (1 + time | c_code)
amplitude_kurtosis..2. , feat ~ 1 + time + GA + (1 + time | c_code)
amplitude_kurtosis..3. , feat ~ 1 + GA + (1 + time | c_code)
amplitude_kurtosis..4. , feat ~ 1 + GA + (1 + time | c_code)
connectivity_coh_mean..1. , feat ~ 1 + time + GA + (1 + time | c_code)
connectivity_coh_mean..2. , feat ~ 1 + time + GA + (1 + time | c_code)
connectivity_coh_mean..3. , feat ~ 1 + time + GA + (1 + time | c_code)
connectivity_coh_mean..4. , feat ~ 1 + GA + (1 | c_code)
rEEG_median , feat ~ 1 + time + (1 | c_code)
rEEG_lower_margin , feat ~ 1 + time + GA + (1 + time | c_code)
rEEG_upper_margin , feat ~ 1 + time + GA + time:GA + (1 + time | c_code)
rEEG_asymmetry , feat ~ 1 + time + GA + (1 + time | c_code)
IBI_length_max , feat ~ 1 + time + GA + (1 | c_code)
IBI_length_median , feat ~ 1 + GA + (1 | c_code)
IBI_burst_prc , feat ~ 1 + time + GA + (1 | c_code)
IBI_burst_number , feat ~ 1 + time + GA + (1 + time | c_code)
